,price
9731,135000
10284,489000
10609,152000
12669,795000
5042,239000
5662,299250
5961,187000
7939,160000
6979,159000
4395,250000
5288,280000
9861,360000
4921,489000
7063,795000
1065,330000
6743,199000
4100,198000
8429,466820
595,425000
7585,285000
9455,350000
5843,279000
3449,80000
641,99000
9093,335000
10434,299000
12137,220000
8488,235000
9222,299000
9491,423975
10378,120000
6145,257000
3195,549500
10403,399000
8156,265000
3770,430000
3350,295000
2433,385000
7308,218000
4113,260000
6426,410000
9474,159000
3431,120000
668,175000
5498,289000
11693,468000
3086,311000
11220,355000
6118,595000
3476,300000
7537,269000
10962,140000
8104,185000
8961,219000
128,339000
1851,199000
8392,137500
9843,239000
2735,452076
3923,199000
5626,309000
11644,380070
1561,325000
1522,280000
175,310000
11584,599000
8204,299000
9350,330000
12131,315000
3096,325000
741,395000
2552,195000
8692,154000
2525,395000
4715,395000
12048,369000
4147,279000
10727,249999
6819,75000
3860,415000
9727,380000
3383,607000
2693,300000
1289,489000
7693,217500
12035,179000
7106,375000
3542,150000
8768,275000
1063,80000
2622,45000
5459,495000
5372,195000
9084,215000
12299,417000
2297,295000
9829,725000
8124,269000
4562,289000
4870,399000
4698,521030
6350,259000
2237,319000
9849,399000
6516,230000
12814,289000
10456,249000
3049,110000
3185,549500
5980,140000
6185,269000
529,154500
6585,280000
5540,245000
12466,285000
12352,211000
8254,585000
3517,169000
7798,550000
1549,55000
10406,299000
21,469000
11673,335000
12234,275000
3326,283900
2639,490000
10066,119000
9230,215000
5338,225000
1517,240000
11114,174000
8491,269000
9666,235000
9049,229000
829,750000
1867,225000
5821,329000
4606,499000
13074,70000
5619,350000
9183,449000
5532,85000
12945,542000
11327,125000
7812,99000
5241,275000
4937,449000
7902,199000
6541,359000
3467,256000
2199,325000
5883,372000
8869,546000
5687,472351
7279,438236
7471,295000
8629,439000
12658,219000
7996,551000
1501,699000
9351,309000
11592,249000
4935,399000
11792,259000
7918,415000
6293,445000
7903,299000
7143,270000
8557,420000
5728,329000
9994,398500
3403,155000
4564,459000
8753,289000
4440,795000
997,199000
9570,189000
2543,135000
1866,265000
619,329000
10147,155000
7371,330000
6950,270000
7295,278000
11942,199000
4048,239000
1095,299000
3973,294000
2153,295000
7369,275000
6866,525000
9625,585000
8545,245000
3978,120000
6910,249000
1288,199000
1767,299000
9304,228600
6726,399000
4291,99000
9695,295000
12264,310000
8054,334500
8747,299000
1869,165000
10628,344000
12839,329000
6625,295000
7646,595000
1471,94000
12276,295000
10851,219000
5505,229000
5812,265000
3187,399000
5281,257000
3117,369000
2511,273000
2704,535000
4194,329000
12090,300000
6627,249000
234,659666
10999,140000
12135,349000
3578,346305
359,175000
13123,159000
5551,159000
1648,359000
7448,369000
9673,570000
4423,495000
7053,399000
12654,695000
9945,329500
303,285000
11281,189000
1015,495000
4065,315000
7598,319950
12316,370250
893,379000
11683,336638
4626,650000
3840,469000
10235,449000
655,210000
9775,295000
12468,397000
10552,230000
12611,209900
2009,190000
2286,479500
5780,250000
5886,139000
4497,195000
9200,249000
12052,265000
9412,749000
10645,449000
9081,423650
6006,375000
3257,549000
6180,345000
6619,140000
12074,205000
12991,199000
6297,420000
6796,165000
5002,230000
4198,199000
1565,249000
2741,149000
9149,227500
6549,245000
1186,560800
8282,170000
8344,470000
2259,495000
2290,449000
3830,539000
12407,345000
2513,512000
3611,295000
12858,348500
3127,629900
4589,165000
11639,160000
2559,385000
11000,99900
13064,481738
12279,195000
916,445000
5046,369000
12212,169000
2604,179000
8403,319000
446,75000
2294,445000
12379,139999
1684,329000
2736,439000
1581,249000
12319,235000
2109,225000
4889,385000
6813,175000
5238,229000
4468,390000
11605,420000
2033,239000
362,315000
5112,300294
550,239000
7480,485000
10115,230000
9962,225000
4924,419000
4683,569000
11484,265000
1067,85000
4554,313000
8004,685000
10781,295000
6193,289000
180,330000
8119,470000
4957,159000
5156,485000
5286,265000
11420,235000
2551,64999
2067,139000
5469,219000
1395,579000
1742,545000
1458,290000
268,345000
9257,299500
11447,200000
1679,425000
9462,299000
12510,479000
1115,230000
3813,317774
8320,295000
11272,200000
6230,199000
2929,298000
896,539000
5742,385000
12586,434500
3135,195000
1651,269000
11903,478760
4276,199000
6007,299000
12317,349000
10880,289000
9138,258000
723,189000
975,255000
10526,577818
8949,253000
11714,225000
1403,218000
1495,195000
3147,289000
1712,289000
642,269000
275,115000
544,215000
7042,149000
2128,130000
11169,235000
9440,210000
8586,249000
11922,260000
408,216500
3176,615000
6324,380000
7837,299999
7268,299000
12859,298000
5103,250000
6718,439000
8664,149000
4604,687000
11765,535000
5409,495000
4875,699000
10986,299000
11056,495000
11645,195000
5957,330000
2038,250000
6493,460000
5964,625000
5479,225000
146,325000
12756,375000
6531,169000
4457,472000
1699,569000
7768,295000
82,299000
6977,150000
8332,319000
941,240000
3126,475000
3884,285000
3385,442500
10345,460079
9450,725000
8808,449188
10592,329000
8797,649000
10622,329700
4378,565000
9470,80000
7198,60000
6492,550000
2734,159000
2328,179000
3515,229000
2401,176550
3365,190000
11742,386000
12651,177000
5190,319000
4006,238000
3898,369000
6463,225380
8066,422440
7900,270000
7338,69000
3632,225000
8347,749000
1848,230000
8964,209000
11886,439000
3850,408000
9985,265000
11788,195000
11565,440000
1781,184000
11618,760000
847,309000
11867,295000
10699,310000
5521,340000
2686,135000
8056,289000
6296,585000
10201,306000
7386,199000
4658,576000
13019,488591
7600,275000
7749,275000
902,299000
5401,155000
11385,424999
12177,325000
8683,230000
10520,410000
2289,479500
1717,109000
611,269000
3023,485000
7892,269000
339,350000
7712,295000
4206,230000
12860,144500
11779,421857
5215,249000
7590,269000
956,495000
3368,159000
6775,226000
7142,249000
10139,245000
9692,225000
11192,210000
2848,350000
10930,349000
2911,645000
9278,319710
8890,95000
6206,315000
12616,429210
9249,220000
4406,399000
7967,355000
3491,479000
1588,208000
1123,230000
8682,415000
2236,295000
10233,399000
5516,125000
4263,360000
9194,140000
6178,490000
1376,139900
11750,379000
2426,299000
12514,389000
3954,345000
11659,145000
2724,476440
1443,219500
2339,175000
10199,635000
7867,270000
4003,270000
4294,299000
11194,629500
1654,265000
11305,349000
6181,437000
4851,439000
4625,180000
11340,120000
9600,239000
9943,649000
10487,270000
6763,330500
2823,299000
5756,365000
5365,167000
8859,415000
8818,270000
11989,250000
6551,190000
102,319000
9448,170000
1975,315000
11361,297793
1381,411975
7452,220000
8630,215000
1084,275000
1284,280000
3698,395000
8406,299000
13144,270000
8386,430000
9042,338985
3877,452800
12575,358500
4011,360000
8430,449000
4586,245000
7304,219000
11748,388000
5354,333500
5999,340000
11890,379000
4175,175000
5678,280000
2216,159000
3144,349000
10356,210000
6439,285000
1766,142000
8599,279000
7521,382000
3076,350000
13026,340000
4356,399000
4323,385000
5744,235000
8867,355000
8947,350000
3118,450000
8389,579000
10849,55000
8744,239000
9348,250000
9414,274900
4883,265000
991,320000
6436,339750
7005,325000
3137,369000
3499,199000
3882,495000
6038,325000
4507,179000
8257,295000
399,325000
12649,695000
5968,389000
7679,590000
6577,499000
6128,235000
179,325000
6502,185000
2428,649000
6678,170000
12281,780944
11432,435000
12831,260000
9522,299000
2592,295152
6899,560000
11894,569000
11270,290000
12772,420000
12171,298000
568,269000
4346,349900
6171,381200
310,238000
11895,530000
5134,585000
8799,565000
4138,295000
1480,270000
8001,69000
5731,220000
2335,360000
9097,459000
12191,249000
7013,200000
4135,110000
6823,140000
6897,425000
3546,699000
11594,105000
5090,199000
8864,349000
9729,147000
9201,241660
6124,399000
9875,380000
2320,655000
6809,79000
10228,429000
1429,349784
295,235000
12369,345000
2431,459000
4766,315000
1418,379000
9143,339000
11135,165000
4347,225000
1135,399000
9018,309500
5915,128000
5949,235000
1770,595000
12902,305000
9991,236810
12409,545000
12041,470000
9069,282000
3247,229000
4059,89000
13088,180000
12492,528000
2650,585000
35,385000
2394,102000
6934,395000
7528,645000
6725,310000
554,155000
1658,349500
8998,329000
4789,355000
10120,365000
1202,309000
5652,585000
6397,299000
5605,230000
1094,220000
8095,334720
8795,49000
2372,349000
2157,120000
3657,265000
11409,199000
2837,260000
6158,245000
12783,250000
5639,779000
10419,265000
11092,435000
185,449500
9,349000
7926,425000
7723,270000
1385,248000
3976,650000
183,459000
5344,595000
5382,374001
3251,495000
9615,569000
1134,39950
3774,328000
6607,350000
6805,114999
4600,359000
12311,585000
2861,319985
6792,40000
8003,450000
3322,199000
10754,60000
5161,209900
13076,120000
10895,615000
872,318500
2130,349000
8346,698000
7839,327425
566,480000
10183,234000
11335,349000
1121,120000
3085,358000
5421,299000
9838,329400
7229,425000
7690,85000
7240,220000
710,199000
687,250000
8449,250000
12746,330000
12834,495000
5815,505000
4246,379000
9066,250000
13141,349000
351,165000
6395,269000
11291,352802
9648,239500
6881,449000
1467,465000
1756,535000
1130,260000
12513,599000
5520,160000
7128,298000
5867,305000
1785,289000
1442,119000
5959,215000
11608,295000
6156,519000
2642,169000
5820,239000
9233,499000
7800,168651
11354,140000
1394,150000
1152,465000
3878,275000
4118,189000
2902,129000
1667,342000
12629,220000
8880,335000
6518,175000
7652,249000
9210,295000
4727,229000
8623,275000
12157,440000
9219,345000
5560,100000
5620,215000
4165,188000
4972,410000
6299,489000
12913,549000
3299,325000
7950,399000
7077,465000
7626,265000
8696,214000
3641,250000
7144,580000
8610,310000
12066,254000
7168,239000
9986,265000
5665,498000
8801,360548
8367,349000
6696,270000
5970,215000
9445,399000
8543,279000
12205,179000
7632,345000
1584,197500
10290,445000
409,325000
1445,269000
2314,385000
3358,135000
9669,333000
8048,359985
6327,295000
6035,319000
4481,269000
8878,469000
184,299000
5434,264000
4871,323000
11728,299000
12753,395000
9592,195000
11400,325000
11756,340000
10214,399000
8924,165000
8451,375000
10700,635000
5428,425000
7476,274000
2065,499000
3634,179000
10160,425000
7638,274000
12209,209000
1538,246500
3500,210000
514,479000
6053,325000
5661,549000
5124,160000
8253,565000
4687,569000
6265,249000
519,595000
607,345000
4367,420000
2941,244859
8138,165000
12139,275000
1482,302624
12094,275000
12640,530328
2105,185000
2399,249000
4822,100000
9372,210253
7793,225000
8802,328500
910,369750
3687,449000
7686,620654
9171,270847
2299,289000
6539,185000
3067,270000
1486,195000
4042,130000
5110,230000
4438,595000
9187,395000
4707,521030
2315,230000
5138,219000
2753,155000
10825,160000
10249,374000
9618,99000
7879,290000
6450,330000
7185,549000
6147,499000
3455,276000
2983,199000
5643,449000
7752,369000
1997,485000
3624,595000
10100,289500
2832,383700
914,329000
2749,289000
4026,249000
2556,390000
13118,195000
5783,275000
5674,695000
7695,248000
13046,372000
9995,284000
5937,169000
9737,299000
3286,235000
2096,129000
503,645000
9160,365000
8565,458247
12310,675000
9241,259000
10126,292000
9211,219000
6168,299000
9773,674000
481,155000
2912,338700
10675,695000
1775,299000
1353,189000
6730,519000
1153,199000
669,200000
2337,425000
11876,278000
5169,295000
2583,449000
782,550050
8256,210000
10281,130000
8312,284995
12775,239000
11772,339000
10272,95000
3222,325000
1670,534000
3324,120000
10041,185000
9186,255400
9535,305100
11368,299000
8783,287073
2298,261324
12781,419000
799,199000
4758,199999
6219,530000
12228,395000
12296,306000
5572,359000
8960,395000
13135,269800
8023,259000
10471,290000
4568,349000
10989,300000
11149,295000
4916,210000
7055,268500
4400,398000
12308,460000
1222,160000
10227,329000
2539,165000
9622,385193
1990,549000
390,285000
10142,495000
1093,180000
12709,549000
2841,395000
4800,275000
1297,189000
2352,375000
9214,390000
9688,325000
3397,350000
7493,249000
1457,299950
6650,420000
557,539000
5054,429000
6981,495000
4073,399000
5317,175000
1454,495000
13073,249000
7406,149000
311,280000
664,325000
3496,129000
2502,160000
8131,375000
11487,144900
3614,309900
3364,199000
8786,389000
6504,380000
10350,335000
6812,198000
10027,310000
7097,645000
1642,169000
3677,229000
785,480000
401,149000
7024,417162
6021,285000
3814,240000
10698,250000
7178,249000
10579,227500
462,319000
2572,191000
2204,415000
9623,259000
12275,245000
8106,379000
5797,625000
12820,349000
5518,380000
7031,192500
1372,495000
9758,262000
12774,330000
7560,193000
132,499000
3329,318560
6069,280000
1296,250000
7121,775000
9631,372256
5193,439000
11383,295000
8357,460000
3425,110000
5953,199000
1886,384000
2567,210000
10909,575000
10092,395000
1029,299000
6479,199000
5598,599000
1860,384000
4744,279000
11804,299000
2012,219000
1515,165000
4583,259000
6854,290000
677,149000
1808,97500
12719,145000
10336,160000
11752,675000
13028,450000
4089,246500
4061,275000
8110,189000
9195,110000
12693,299000
3908,329000
5425,209000
1774,298000
8212,25000
3348,395000
5150,449000
9109,60000
1232,210000
2830,785000
11286,350000
3627,79000
12558,375000
3103,145000
6590,295000
6402,499000
7165,245000
9589,120000
12007,785000
8990,299000
10076,210000
7004,180000
5088,349000
3204,649000
5908,295000
11583,165000
7332,595000
2016,205000
10709,240000
5891,285000
6560,179900
3404,289000
9738,295000
5385,495000
5854,490000
6982,450000
8028,475000
12787,347551
9760,674000
8063,506600
4279,600000
2404,269000
7961,300000
3703,452062
9175,272195
5658,705000
396,189500
9905,469000
2923,225000
11154,130000
7509,290449
5097,690000
12467,219000
8373,599000
1849,179000
60,333712
1529,185600
8895,159000
1070,335000
6087,369000
1481,180000
6832,155000
8959,329000
10874,289000
3707,299000
6201,325000
1568,135000
1302,287500
10211,360000
3885,465000
10610,219000
12681,465000
4050,193960
10902,749000
101,630000
9063,680000
8284,395000
5101,199000
9375,269900
11535,399000
12128,491000
7123,345000
355,344000
8952,284400
11510,368000
8260,339000
6569,365000
6786,199000
9848,349000
966,275000
5818,435000
264,279000
9094,575000
5794,95000
5320,178000
8849,462781
7941,405000
11374,269000
7750,225000
9141,324950
4790,795000
1014,395000
4452,200000
191,430000
8894,351611
8741,249000
3309,295000
5318,430000
9277,399000
9089,380000
6746,279000
1228,699000
5416,355000
474,179000
11679,425000
10686,425607
5039,324000
3450,70000
10746,170000
9879,447000
3906,355000
10184,549000
172,760000
8871,275000
11643,165000
4835,149000
244,365000
12659,425000
11656,235000
1502,320000
9110,245000
11794,295000
6194,195000
11174,169000
7642,554586
5912,199000
3327,195000
5378,285000
12686,620000
7130,210000
8719,599000
2412,685000
8749,438500
1322,245000
247,169000
4599,270000
2831,285000
11423,365000
2154,269000
12535,275000
11504,535000
3356,179000
2058,259000
6371,375000
555,265000
13094,199000
10551,500000
7167,439000
6136,295000
10774,285000
3181,249000
7148,175000
5710,130000
11667,275000
4317,699000
11708,575000
8800,260000
1438,295000
11041,250000
1879,65000
11422,269000
1525,200000
9700,279000
11260,298000
4024,339000
4537,281746
8807,185000
1829,189000
12294,310000
1553,395000
12487,189000
9752,129000
5331,396090
680,135000
8388,390000
11952,390000
3752,195000
3184,329000
1941,89500
1818,1300000
9640,265000
9381,265000
2961,175000
4032,409000
6817,85000
7326,224000
13138,195000
6641,295000
7987,475000
4552,495000
6014,154000
13084,168000
6032,349000
3240,349000
12534,399000
4596,615000
3273,224750
2748,549000
7049,145000
7303,299000
10441,428000
2808,479000
2745,135000
537,225000
8448,230000
3853,169000
7621,675000
1771,247000
2981,547466
9798,389000
6096,469000
13017,430000
11416,329000
12780,379551
12240,435000
1859,469000
2999,385000
8983,239000
511,435000
13147,319000
304,366000
11350,199000
6287,284000
8032,489000
9137,229000
7969,344000
3913,349000
779,250000
10347,357000
10083,109000
11287,275000
10891,569000
7942,175000
704,1990000
435,230000
11901,265000
6833,200000
6935,269000
6112,260000
762,440000
6380,279000
7228,285000
12141,650000
7702,225000
9851,280000
6452,305000
11821,595000
11126,416369
195,223000
10575,335000
8084,349000
556,179000
541,420000
4566,349000
3793,225000
780,388344
3760,250000
10777,289000
4970,450000
8862,389000
4493,310000
9902,259000
349,179000
7059,365716
2910,350000
8439,325000
861,299000
2122,338618
6668,220000
10639,259000
12969,304000
2718,200000
942,150000
7115,395000
1873,285000
735,335000
1618,175000
2174,299000
3246,347000
5527,425000
7417,660000
4208,169000
11326,515876
6470,239000
4385,335000
4591,418000
6282,245000
777,199000
1777,519000
4977,549000
4650,335000
1570,240000
5914,580000
87,259000
7328,295000
696,269000
7944,295000
4122,349000
7635,735000
11269,269000
12370,275000
337,210000
5114,130000
596,260000
10938,345000
8994,695000
9809,220000
8857,249000
4930,325000
4055,319000
1548,219900
8268,299000
1632,265000
9523,239000
7829,395000
5091,550000
7415,298000
11800,392430
138,299000
291,219000
13032,685000
512,349000
2943,130000
12702,50000
1161,265000
4634,178000
5162,319000
672,99000
1589,339975
5276,120000
5195,320000
11672,240000
8360,345000
11217,289000
10381,369000
6117,167000
3786,383709
7427,289000
9364,145000
8100,370000
1693,770000
9826,555000
5373,449000
771,595000
12084,325000
530,445000
6232,345000
1313,189000
5458,365000
11465,234500
7335,230000
8530,295000
4697,375000
2847,399000
1645,293500
1154,465000
1623,269000
12461,195000
10943,369000
2719,520000
11980,99000
3165,319000
7345,300000
2969,320000
621,299500
2599,385500
270,210000
9661,169000
1988,255000
2665,179000
4572,215000
7375,225000
5023,369000
3224,329000
3864,229000
8914,120000
7653,347551
12136,290000
643,262000
423,235000
11394,235000
13102,315000
12095,395000
2364,225000
12522,119000
1969,330000
2849,440000
4120,219000
3009,115000
1864,330000
464,189000
374,380809
8203,185000
8652,245000
4571,385000
3432,179000
323,299000
8813,399000
10349,765000
1673,285000
11449,225000
6451,329000
8208,190000
9443,180000
10180,495900
9459,299000
1798,130000
6013,245000
10256,349000
4670,449000
11706,239000
5849,85000
4320,589000
2302,270000
8235,380000
1571,335000
8950,269000
10839,305000
11935,185000
2459,595000
1209,399000
3658,309000
11473,125000
5457,335000
4078,297000
7409,265000
6204,499000
6626,399000
3242,279000
10619,315000
11870,335000
4581,375000
472,80000
4249,287000
7366,130000
13010,299000
12004,405000
3132,197500
10014,536450
823,349000
2032,549000
9494,384900
10683,329000
10850,450000
12804,299000
10957,338000
10365,130000
860,344000
1626,198000
2966,175000
788,395000
10128,320000
9723,495000
4893,499000
6766,400000
2163,349000
10387,325000
4986,385000
11036,280000
5696,385000
5026,490611
10050,458000
11997,400000
1408,220000
2685,239900
12042,175000
6144,695000
8315,213180
12237,199000
9533,161550
3093,209000
9313,280000
6358,495000
7481,295000
9282,314000
11261,289000
98,245000
2376,485000
2946,384000
5916,485000
4443,199000
6991,185000
11179,135000
4770,212500
4125,180000
10239,430154
10163,210000
1768,149000
5170,335000
4051,265000
7928,341000
12943,295000
9475,409650
7443,360000
3059,199000
7776,289000
3527,315000
10177,175000
1278,480000
3892,647000
6939,110000
9284,393685
5018,340000
12511,297000
7318,99000
3305,349000
9551,330000
12711,460000
5805,485000
3422,320376
10674,344500
2591,349000
7226,250000
1783,520000
3457,215000
105,430000
3012,199500
11705,210000
3066,359000
4420,259000
3412,289000
6080,240000
7313,150000
2918,480000
589,315000
196,319000
7705,238000
12911,240000
7973,199000
5444,293800
10841,125000
10872,399000
10075,229000
1580,199500
135,575000
11431,255000
4817,129900
8398,498000
6779,449000
10712,295000
2738,199000
1528,249900
11401,194000
9948,359540
3155,299000
2948,175000
442,235000
4130,275000
11363,299000
7855,175000
4488,329000
7788,288000
12661,385000
2446,119000
2221,395000
2265,519000
7668,525000
1076,289000
4025,310000
5831,219000
11224,295000
6379,265000
10353,80000
5679,720000
12524,449000
12207,134000
9708,525000
241,350000
713,369000
2214,375000
3914,349000
3454,345000
1476,479000
12704,365000
7724,325000
12935,150000
5327,445000
4551,235000
665,695000
3284,169000
12582,495000
2393,500000
3987,60500
12508,249000
9858,215000
11937,300000
4757,289000
4823,215000
450,298000
11439,258750
12377,180000
3821,220000
12250,70000
4832,195000
10572,289000
12507,95000
12049,309000
11753,240000
1391,275000
204,200000
9820,260000
12672,650000
12198,365000
1314,140000
1710,215000
10049,474400
5480,692000
1536,349000
6505,470000
5137,395000
3061,795000
5012,175000
1020,250000
13070,289000
1396,258000
8159,349000
6308,235000
3916,140000
498,489000
4028,475000
1021,300000
6355,449000
9139,199000
12046,440000
6148,336227
9955,225000
6640,475000
3714,429000
681,275000
12415,150000
11972,370000
4780,435000
1137,220000
8122,239900
1543,357985
2452,239000
4793,299000
4218,170000
12231,349500
12856,499000
12528,177000
7112,329000
8945,199000
4016,525000
12997,595000
2898,279000
7098,495000
7052,298000
7460,340000
5352,229000
7540,90000
10131,249000
10785,110000
3131,398500
586,210000
1507,62000
5014,400000
6246,49000
12738,230000
13116,230000
9338,385000
13031,495591
10831,411565
5599,395000
10282,79000
2306,320000
9817,220000
2921,175000
1184,369000
3732,349000
2079,523000
12391,405000
2578,99000
9992,185000
599,225000
12992,280000
2200,289000
1379,220000
11602,165000
10598,241500
4398,298000
7611,389000
2276,289000
3098,185000
1617,250000
12537,299000
8010,389000
6685,470000
1082,85000
12936,750000
2256,750000
2787,211000
11957,465000
7878,75000
8080,585000
2709,280000
11778,369000
5398,360000
12364,398000
5826,520000
7674,258000
7472,319000
8462,235000
9239,160000
10878,310000
1707,263596
6614,210000
1627,455000
6715,519941
1734,186000
9537,549000
7150,59000
9115,239000
4148,115000
12464,282000
6231,167500
7316,315000
11836,349000
784,310000
9506,260000
2839,299000
8789,299000
10300,265000
3401,110000
8231,150000
8404,130000
10629,376000
6338,359000
7910,69000
10858,110000
12246,549000
12712,90000
9485,299000
3461,445000
7515,300000
12374,435000
2042,198500
3310,299450
10207,749900
2347,339000
4546,255000
13152,354000
5490,425000
5701,395000
2438,716000
11797,515000
5209,169000
360,139500
11381,259000
10424,190000
1253,795000
9914,299000
758,369000
3825,160000
3293,260000
456,299000
93,399000
2082,189000
2146,239000
2939,425000
9598,549000
9004,210000
9001,259000
2651,329000
11534,349000
11310,120000
4955,499000
9437,209000
12486,355000
12471,249000
11252,628124
12618,250000
2292,219000
10460,489000
10563,260000
5633,225000
2318,225000
8963,429000
9144,536835
12853,130000
350,350000
4784,150000
7517,290000
1824,521000
8067,395000
11970,299900
8202,239000
8479,327000
3612,239000
11275,398078
9111,105000
11759,299000
8160,175000
10383,470000
12063,169000
11722,502838
3263,560000
6251,332000
11850,269000
11950,295000
10445,365000
11128,295753
5667,405000
750,269000
7701,78000
1807,285000
7439,491100
9367,224620
812,215000
8631,280000
561,239500
11380,259000
9376,145000
9605,219000
2202,353000
2690,565000
8598,410671
8435,159000
10317,229000
3304,375000
8499,379000
9787,310645
2398,239000
5249,295000
3160,589000
12306,340000
4976,275000
2391,495000
1244,616999
9199,521000
2775,109000
12005,249000
1193,321000
9052,180000
8826,325000
1336,595000
9888,530905
11596,440000
7925,229000
2205,485000
7006,547000
13122,249000
7105,689000
2850,495000
2329,175000
3563,225000
8646,490000
12079,220000
8379,469000
5485,299000
3615,165000
8147,159000
3504,269000
2261,127000
6434,269000
4361,269000
6686,578000
7184,189000
9594,149000
5154,229000
8209,195000
8650,350000
3599,220000
10960,120000
3700,188000
5315,140000
11669,225000
6873,225000
2997,185000
7545,299000
12080,295000
1327,348917
6076,278500
2076,365000
9790,149000
6868,217500
2649,168000
1928,155000
8975,545000
5227,269000
11548,249000
9667,355000
12359,60000
6004,175000
12086,624762
11514,399000
2118,235000
3626,499500
7556,323000
8205,220000
3616,350000
3744,169000
11491,234500
9707,570000
335,388000
4702,249000
8496,169000
1967,119000
4072,219000
8153,379000
11320,381784
3901,249000
7767,525100
10600,276100
4428,395000
6644,332220
1382,200000
4128,469000
5622,230000
2164,230000
2029,325000
8094,269900
13039,240000
5609,242000
2327,339000
10640,316365
502,379000
9920,260000
6889,320000
2113,175000
3459,499000
2752,260000
5292,475000
5223,431500
1300,192000
1044,215000
7761,340000
5417,299000
8532,220000
1220,130000
11784,199000
11017,333000
7108,495000
12748,669000
12419,535000
12934,275000
10701,446000
565,459000
12553,565000
8232,219000
7107,369000
11188,105000
10084,269000
12388,195000
4513,189000
8771,340000
6002,145000
9389,299900
5712,349000
8533,248000
5175,199000
9311,275000
83,247000
7583,374500
730,285000
3105,259000
13049,459000
12465,85000
1371,199000
8730,125000
8585,579000
2275,165900
834,695000
5577,195000
8507,289000
7999,345000
1870,60000
12500,348000
3808,449000
855,199000
7884,235000
10195,285000
3753,252000
6478,420000
1211,349000
4804,299000
925,490000
7219,258500
7486,359000
9300,278000
2406,230000
12565,249000
7353,149000
6291,360000
22,524000
8402,235000
6970,280000
7152,365000
7060,690000
6408,697500
6354,265000
2308,399500
1504,235000
13044,377000
8931,361513
4517,325000
7251,265000
8937,240000
5309,145000
5557,280000
12543,199000
3729,565000
9550,319000
5862,89000
11498,215000
593,269000
10052,349000
4447,239000
588,375000
7258,299000
10990,544000
9975,431400
12266,180000
10778,275000
5795,250000
6255,332000
6835,599000
1534,185000
7109,259000
4945,399000
13062,725000
6,596500
1971,230000
11525,443000
8860,398000
3112,230000
3628,495000
7871,350000
4616,395000
6441,310000
8986,250000
4404,530502
6030,420000
12372,245000
4499,175000
4352,375000
11205,279000
7269,120000
1317,97500
11981,370000
11351,464000
10008,235000
1334,329000
1218,199000
6709,289000
4854,245000
10793,495000
7603,220000
11721,258500
6100,232000
10080,269000
6768,370000
10305,135000
5177,199900
1646,349500
7183,269000
8200,260000
4990,199000
3785,339000
8459,290000
11790,295000
7214,199000
12290,299000
4738,449000
5578,235000
524,369000
9275,249000
7555,395000
6864,398000
9643,549000
4434,330000
7887,165000
4338,549000
5628,245000
1506,210000
4722,199000
9934,239000
2349,349000
1800,199000
11241,302000
8706,139000
1182,449000
7955,304000
1299,134000
6735,449000
3330,250000
12984,299000
13120,189000
8460,159000
11758,447500
214,376579
5979,395000
4396,450000
10005,230000
4680,155000
8008,430000
11353,330000
7244,280000
9889,369000
11057,375000
8349,495000
5541,547000
4200,220385
5418,473000
10790,399000
7622,175000
775,220000
543,615000
4526,379900
6729,140000
11231,271000
4991,349000
3439,220000
3921,180000
868,295000
4950,650000
106,450000
7893,269000
9517,299000
10865,110000
3113,389000
6362,349000
5251,279000
8932,130000
6972,421139
10055,370000
11371,245000
10671,249000
11494,259000
2490,295000
12655,419368
6671,592500
7541,429000
1583,165000
12011,549000
8822,445619
3994,290000
591,260000
4904,425000
7075,334000
6208,390000
7319,95000
12021,465000
4217,179500
8830,440000
10137,240000
12641,170000
6707,515000
898,179000
5595,269000
12197,237000
11117,375000
4987,309000
8595,743000
10242,294566
189,309000
7083,388429
9568,545000
2081,246000
356,311000
9882,395000
9011,290000
722,499000
965,430000
6997,295000
9321,499000
11055,245000
1961,225000
930,399000
8126,230000
8283,375000
8743,239000
9540,528500
5100,189000
1027,95000
10915,519000
7678,210000
4014,384000
6599,485000
8791,159500
4102,545000
3180,275000
2497,515000
5954,210000
10814,199000
7231,495000
2183,399000
6239,425000
12797,175000
12965,199000
5758,420000
12841,250000
5991,499000
6278,465000
1140,240000
6765,445000
4525,375000
1315,339684
6605,495000
5827,350000
7533,385000
3072,65000
8230,288400
12509,355000
4199,299000
7979,649000
4777,345000
263,399254
5470,355000
2723,695000
8341,215000
3178,230000
7205,195000
9242,269000
7671,449000
2568,145000
9724,449000
2266,476250
7039,305000
7134,310000
4772,299000
6067,257000
9614,700000
5252,650000
1687,386324
10511,60000
8352,319000
8697,459000
3294,370000
3395,119000
4405,320000
6580,300000
1686,369000
8680,315000
7302,649900
1994,325000
795,310000
13060,395000
10702,220000
9795,330000
8155,135000
12989,490000
5049,285000
701,249900
11553,289000
10752,389000
6412,259000
4891,249000
11123,220000
9974,499000
4140,199000
6456,690000
3610,239000
7155,165000
2550,239000
3521,249900
5654,322500
2936,377000
11619,569000
7423,299950
4506,45000
7526,149000
2083,355000
9178,80000
6233,235000
84,369000
7881,179000
4197,225000
9967,585000
7882,209000
9232,650000
9019,329900
1547,160000
4944,430000
9046,251124
5260,375000
11042,465000
10069,184000
5501,525000
5062,250000
8255,575000
10482,319000
11472,210000
4076,275000
1868,115000
7784,427809
11191,360000
10337,119000
5720,474000
265,175000
3931,149900
113,410054
3979,265000
